classifier,n_components,mean_accuracy,mean_precision,mean_recall,f1_score,total_time,selection_score
SVC,8,0.8801884467889429,0.8811375444247694,0.8801884467889429,0.8806627398943059,3.8081276416778564,0.35679209750218543
SVC,16,0.9520323101216401,0.9523660017931685,0.9520323101216401,0.9521991267224142,2.9493956565856934,0.8255716727178429
SVC,24,0.9631100082712987,0.9633885113875531,0.9631100082712987,0.963249239698607,3.117870807647705,0.8678750757695756
SVC,32,0.9689179637566735,0.9691864506565112,0.9689179637566735,0.9690521886097575,3.4296183586120605,0.8862051085941727
SVC,40,0.970961379398104,0.9712560865285461,0.970961379398104,0.9711087106042705,3.686276912689209,0.8920483828209685
SVC,48,0.9711764331615449,0.9714678407117845,0.9711764331615449,0.9713221150802802,4.041002511978149,0.892456424344627
SVC,56,0.9712841914082609,0.9715982853989894,0.9712841914082609,0.9714412130147929,4.306541204452515,0.8926453865206206
SVC,64,0.9706388565941916,0.9710173323597576,0.9706388565941916,0.9708280575899331,4.512068271636963,0.8907907551114304
SVC,96,0.9692406022430836,0.9697118033600184,0.9692406022430836,0.9694761455462796,5.6105637550354,0.8862541654030366
SVC,128,0.9690253171146471,0.9695187572885257,0.9690253171146471,0.9692719744010527,6.3763415813446045,0.8852260328033925
residual,8,0.9176166513387356,0.9192051451084593,0.9176166513387356,0.9184102113544462,1.0248689651489258,0.6341013043593399
residual,16,0.9405239838738598,0.9412552116350341,0.9405239838738598,0.9408894556830394,1.1778552532196045,0.7725834620401238
residual,24,0.9446113357279609,0.9450852045551255,0.9446113357279609,0.944848210726801,7.819034814834595,0.7890496732667799
residual,32,0.944611451410459,0.9452312930663466,0.944611451410459,0.9449212705887604,7.985602378845215,0.7893166018092871
residual,40,0.9408468537252656,0.9420614558315226,0.9408468537252656,0.941453763028496,4.850873708724976,0.7735009622847472
residual,48,0.9355767640134885,0.9374182939839862,0.9355767640134885,0.9364966237019995,5.466390371322632,0.74627078109092
residual,56,0.932887840034242,0.9347711753812078,0.932887840034242,0.9338285581360954,5.479141712188721,0.7309302061154349
residual,64,0.9285857814641932,0.9309411808465653,0.9285857814641932,0.929761989403347,5.8057541847229,0.7062597349352383
residual,96,0.914819448541533,0.9188479640415046,0.914819448541533,0.9168292810241495,7.5904858112335205,0.619397036002446
residual,128,0.8757780515596894,0.8927099010961312,0.8757780515596894,0.8841629219084289,9.265105962753296,0.3782728800877667
